name,brand,category,dimensions,description,image_url,galeria_urls,file_2d_url,file_3d_url
Mesa de Jantar Fall,Folio A partir de: R$32,Mesa de Jantar,"280x120x075 *Mobiliário com ampla personalização, variando os valores de acordo com o acabamento e dimensão escolhidos* solicite seu orçamento Encontre uma loja mais próxima Galeria Descrição A mesa de jantar Fall combina pureza formal e força escultórica em um desenho bem resolvido","A mesa de jantar Fall combina pureza formal e força escultórica em um desenho bem resolvido. Seus quatro cilindros elípticos de madeira, dispostos de forma espaçada, criam ritmo visual e estabilidade estrutural. O tampo bipartido em pedra natural adiciona personalidade e faz da peça o centro de qualquer ambiente. Disponível em oito tamanhos com múltiplos acabamentos.",https://folioliving.com.br/assets/uploads/2025/11/01-1-scaled.jpg,"[""https://folioliving.com.br/assets/uploads/2025/11/07-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2025/11/04-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2025/11/03-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2025/11/9-1-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2025/11/10-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2025/11/06-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2025/11/08-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2025/11/02-scaled.jpg""]",,https://3dwarehouse.sketchup.com/model/17f10448-ec75-4de2-b7c0-0da24e29a08f/Mesa-de-Jantar-Fall
Mesa Lateral Orion,Folio A partir de: R$8,Mesa Lateral,"038×036,5x055h *Mobiliário com ampla personalização, variando os valores de acordo com o acabamento e dimensão escolhidos* solicite seu orçamento Encontre uma loja mais próxima Galeria Descrição A mesa lateral Orion, apresenta um acabamento prateado espelhado de alto brilho (tecido), e um design de forma orgânica, com curvas suaves que lembram um contorno fluido e escultórico — uma peça moderna que funciona como ponto de destaque no ambiente","A mesa lateral Orion, apresenta um acabamento prateado espelhado de alto brilho (tecido), e um design de forma orgânica, com curvas suaves que lembram um contorno fluido e escultórico — uma peça moderna que funciona como ponto de destaque no ambiente. Disponível em tamanho único com múltiplos acabamentos.",https://folioliving.com.br/assets/uploads/2025/11/1-scaled.jpg,"[""https://folioliving.com.br/assets/uploads/2025/11/7-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2025/11/8-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2025/11/3-1-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2025/11/9-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2025/11/5-scaled.jpg""]",,https://3dwarehouse.sketchup.com/model/d8a6de98-f628-4623-9ceb-9bc6ca6d58e5/Mesa-Lateral-Orion
Poltrona Siesta Fixa,Ricardo Van Steen A partir de: R$34,Poltrona,"076x095x076 *Mobiliário com ampla personalização, variando os valores de acordo com o acabamento e dimensão escolhidos* solicite seu orçamento Encontre uma loja mais próxima Galeria Descrição A poltrona Siesta revela o modernismo brasileiro em sua lateral contínua e esculpida, onde a madeira maciça desenha um volume único, quase monolítico, marcado por encaixes aparentes que evidenciam sua construção","A poltrona Siesta revela o modernismo brasileiro em sua lateral contínua e esculpida, onde a madeira maciça desenha um volume único, quase monolítico, marcado por encaixes aparentes que evidenciam sua construção. O estofado se acomoda dentro da estrutura como um convite ao descanso.",https://folioliving.com.br/assets/uploads/2026/04/1-12-scaled.jpg,"[""https://folioliving.com.br/assets/uploads/2026/04/3-8-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/04/6-7-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/04/7-4-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/04/5-8-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/04/1-13-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/04/2-7-scaled.jpg""]",,http://3dwarehouse.sketchup.com/model/bd9ab312-eab7-40d9-8725-51176fd58d00/Poltrona-Siesta-Fixa
Cadeira Piano,Ricardo Van Steen A partir de: R$7,Cadeira,"050x054x078 *Mobiliário com ampla personalização, variando os valores de acordo com o acabamento e dimensão escolhidos* solicite seu orçamento Encontre uma loja mais próxima Galeria Descrição A Cadeira Piano, de Ricardo Van Steen, combina leveza estrutural e riqueza artesanal em um desenho contemporâneo","A Cadeira Piano, de Ricardo Van Steen, combina leveza estrutural e riqueza artesanal em um desenho contemporâneo. Seu assento e encosto são tramados à mão, criando um jogo de cheios e vazios que valoriza a textura e o trabalho manual, enquanto a estrutura em aço carbono reforça a sensação de fluidez. Disponível em fio de couro, rami e corda náutica, a peça se adapta a diferentes propostas.",https://folioliving.com.br/assets/uploads/2026/04/1-scaled.jpg,"[""https://folioliving.com.br/assets/uploads/2026/04/10-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/04/7-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/04/5-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/04/9-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/04/8-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/04/6-scaled.jpg""]",,
Poltrona 011,Flipê Arquitetura + Nati Minas & Studio A partir de: R$16,Poltrona,"080x090x070 *Mobiliário com ampla personalização, variando os valores de acordo com o acabamento e dimensão escolhidos* solicite seu orçamento Encontre uma loja mais próxima Galeria Descrição Inspirada na pureza das formas geométricas, a Namoradeira 011 é uma síntese entre design escultural e funcionalidade ergonômica","Inspirada na pureza das formas geométricas, a Namoradeira 011 é uma síntese entre design escultural e funcionalidade ergonômica. Sua estrutura deriva da sobreposição de duas elipses, resultando em uma peça de expressão e ao mesmo tempo acolhedora. O nome 011 é uma homenagem à cidade de São Paulo, onde nasceu o conceito da peça, pensada especialmente para o Apartamento 011, localizado em um icônico prédio antigo na Consolação. Essa área, um marco na pulsante metrópole paulistana, reflete o diálogo entre passado e presente que permeia o design dela. Assinada pela Flipê Arquitetura + Nati Minas & Studio.",https://folioliving.com.br/assets/uploads/2023/06/21-1-scaled.jpg,"[""https://folioliving.com.br/assets/uploads/2023/06/12-4.jpg"", ""https://folioliving.com.br/assets/uploads/2023/06/13-1.jpg"", ""https://folioliving.com.br/assets/uploads/2023/06/2-53-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2023/06/7-18-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2023/06/4-47-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2023/06/11-8.jpg"", ""https://folioliving.com.br/assets/uploads/2023/06/10-12.jpg"", ""https://folioliving.com.br/assets/uploads/2023/06/14.jpg"", ""https://folioliving.com.br/assets/uploads/2023/06/18-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2023/06/19-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2023/06/20-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2023/06/17-1-scaled.jpg""]",,https://3dwarehouse.sketchup.com/model/ee51a611-7fd8-4861-b066-8fcf8dd41677/Poltrona-011
Buffet Path,Folio A partir de: R$26,Buffet,"255x050x075 *Mobiliário com ampla personalização, variando os valores de acordo com o acabamento e dimensão escolhidos* solicite seu orçamento Encontre uma loja mais próxima Galeria Descrição O buffet Path destaca-se pela pureza das formas e pelo contraste de materiais","O buffet Path destaca-se pela pureza das formas e pelo contraste de materiais. Os volumes em madeira de cantos suaves repousam sobre bases cilíndricas com textura, resultando em uma peça de presença marcante e equilíbrio visual. Disponível em três tamanhos com múltiplos acabamentos.",https://folioliving.com.br/assets/uploads/2025/10/1-3-scaled.jpg,"[""https://folioliving.com.br/assets/uploads/2025/10/6-1-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2025/10/3-1-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2025/10/5-1-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2025/10/9-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2025/10/2-1-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2025/10/4-1-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2025/10/1-4-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2025/10/7-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2025/10/8-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2025/10/10-scaled.jpg""]",https://www.dropbox.com/scl/fo/lfhx2zqe1ha6piehjgs41/AGIlnkAQewUy5_dtDTWHKO8?rlkey=thlhetzj22r05860ss3pkncg8&st=oayxs0iv&dl=0,https://3dwarehouse.sketchup.com/model/e9547fb8-c8f3-4676-a8f3-3781808fe07a/Buffet-Path
Cadeira Sky,Folio + Neriage A partir de: R$10,Cadeira,"059X053X082x051 *Mobiliário com ampla personalização, variando os valores de acordo com o acabamento e dimensão escolhidos* solicite seu orçamento Encontre uma loja mais próxima Galeria Descrição A cadeira Sky nasce da fusão entre moda e mobiliário, traduzindo a leveza do vestuário em forma habitável","A cadeira Sky nasce da fusão entre moda e mobiliário, traduzindo a leveza do vestuário em forma habitável. Criada em colaboração entre a Folio e a marca de moda Neriage, a peça é inteiramente revestida em tecido plissado — elemento central do trabalho da estilista Rafaella Caniello — conferindo à estrutura um movimento visual contínuo e fluido. Com braços integrados e linhas curvas, Sky combina conforto ergonômico com uma presença escultural e delicada. Sua base larga em forma de “asa” reforça a sensação de acolhimento e estabilidade, enquanto o plissado sutil suaviza os contornos e transforma a superfície em uma pele texturizada e envolvente. Mais do que uma cadeira, Sky é uma extensão do corpo, um gesto que habita o espaço com poesia, onde o vestir se transforma em sentar. Disponível em tamanho único com múltiplos acabamentos.",https://folioliving.com.br/assets/uploads/2025/05/02-scaled.jpg,"[""https://folioliving.com.br/assets/uploads/2025/05/00-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2025/05/01-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2025/05/4-4.jpg"", ""https://folioliving.com.br/assets/uploads/2025/05/3-4.jpg"", ""https://folioliving.com.br/assets/uploads/2025/05/2-6.jpg"", ""https://folioliving.com.br/assets/uploads/2025/05/7-2.jpg"", ""https://folioliving.com.br/assets/uploads/2025/05/06-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2025/05/07-scaled.jpg""]",,https://3dwarehouse.sketchup.com/model/bafd4f74-a575-4c9a-81c3-468911612fb3/Cadeira-Sky-Plissados
Banco Nazar,Estúdio LL2 A partir de: R$15,Banco,"068x030x050 *Mobiliário com ampla personalização, variando os valores de acordo com o acabamento e dimensão escolhidos* solicite seu orçamento Encontre uma loja mais próxima Galeria Descrição O banco Nazar é uma peça que carrega um design contemporâneo marcante, caracterizado por linhas escultóricas e formas geométricas puras","O banco Nazar é uma peça que carrega um design contemporâneo marcante, caracterizado por linhas escultóricas e formas geométricas puras. Com assento largo e confortável, sua estrutura sólida apresenta um visual monolítico e escultural que se destaca em qualquer ambiente. Nazar é uma família de artefatos sem um propósito fixo definido. São explorações geométricas desenvolvidas para transmitir energia e beleza, podendo funcionar tanto como escultura – objeto de fruição estética – quanto para uso funcional, servindo como assento ou apoio. A coleção é fruto da observação de arquétipos ancestrais e da arquitetura vernacular, mesclando tradição e contemporaneidade. Personalizável em diferentes acabamentos e cores, o banco Nazar transita entre o utilitário e o artístico, se adaptando com facilidade a diversos espaços e estilos de decoração.",https://folioliving.com.br/assets/uploads/2023/11/18.jpg,"[""https://folioliving.com.br/assets/uploads/2023/11/35-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2023/11/36-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2023/11/28-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2023/11/29-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2023/11/37-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2025/07/12-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2023/11/16-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2023/11/31-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2023/11/34-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2023/11/30-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2023/11/33-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2023/11/32-scaled.jpg""]",,https://3dwarehouse.sketchup.com/model/df0cf2a8-6c45-4fee-b174-daf2761e1f70/Banco-Nazar
Banco Plano,Folio A partir de: R$21,Banco,"190x042x043 *Mobiliário com ampla personalização, variando os valores de acordo com o acabamento e dimensão escolhidos* solicite seu orçamento Encontre uma loja mais próxima Galeria Descrição O Banco Plano combina formas precisas e materiais de caráter marcante","O Banco Plano combina formas precisas e materiais de caráter marcante. A base cilíndrica em granilite sustenta o assento contínuo, revestido em bouclé.. O contraste entre os materiais cria uma presença silenciosa, porém expressiva — uma peça de elegância contida e equilíbrio inusitado, ideal para espaços que valorizam o design essencial e a matéria em sua forma pura. Disponível em quatro tamanhos com múltiplos acabamentos.",https://folioliving.com.br/assets/uploads/2025/10/1-1-scaled.jpg,"[""https://folioliving.com.br/assets/uploads/2025/10/5-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2025/10/6-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2025/10/4-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2025/10/2-scaled.jpg""]",https://www.dropbox.com/scl/fi/4w6nrdjg6tdtk7okksymq/2D-Banco-Plano.pdf?rlkey=hn9mgb32vah9r077hac8dy32s&st=s5cja4z0&dl=0,https://3dwarehouse.sketchup.com/model/1341c373-2b4f-4d07-b620-b6b4c6bf39b4/Banco-Plano
Sofá Aurora,Henrique Steyer A partir de: R$45,Sofá,"410x090x075 *Mobiliário com ampla personalização, variando os valores de acordo com o acabamento e dimensão escolhidos* solicite seu orçamento Encontre uma loja mais próxima Galeria Descrição O Sofá Aurora combina poesia e técnica em um desenho que evoca o espírito do art déco","O Sofá Aurora combina poesia e técnica em um desenho que evoca o espírito do art déco. Seu perfil é marcado por modulações curvas, que se elevam e se conectam como se formassem uma silhueta de montanha, criando um movimento contínuo e escultórico.Mais do que um sofá, Aurora é um elemento arquitetônico e decorativo, que traduz a união entre aconchego, sofisticação e força plástica. Disponível em composições modulares, adapta-se a diferentes ambientes, do mais intimista ao mais expansivo.",https://folioliving.com.br/assets/uploads/2025/09/1-1-scaled.jpg,"[""https://folioliving.com.br/assets/uploads/2025/09/11-1-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2025/09/10-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2025/09/12-1-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2025/09/2-1-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2025/09/5-1-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2025/09/3-1-scaled.jpg""]",,https://3dwarehouse.sketchup.com/model/3b7bd721-8a4d-427f-82b4-6ac5e8119175/Sof%C3%A1-Aurora
